statement,label_fr,label_en,barrier
statement_53,Mon conjoint doit donner son accord pour que je puisse utiliser un moyen de contraception.,My spouse must give their approval for me to be able to use a contraceptive method.,
statement_54,Les contraceptifs “modernes” sont fiables.,"""Modern"" contraceptives are reliable.",
statement_55,"Les enfants naissent naturellement à des intervalles suffisants, sans contraception.","Children are naturally born at sufficient intervals, without contraception.",
statement_56,Une femme ne peut pas utiliser de contraception pendant qu'elle allaite.,A woman cannot use contraception while breastfeeding.,
statement_57,"Après l'accouchement, il n'est pas nécessaire d'utiliser un moyen de contraception jusqu'au retour des règles.","After giving birth, there is no need to use a contraceptive method until periods return.",
statement_58,Une femme ménopausée n'a pas besoin de contraception.,A menopausal woman does not need contraception.,
statement_59,Il existe des situations où la contraception est utile même si l'on n'est pas sexuellement actif.,There are situations where contraception is useful even if one is not sexually active.,
statement_60,L'utilisation de la contraception n'est pas importante pour moi ou ma famille.,Using contraception is not important to me or my family.,
statement_61,Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.,There's no valid reason preventing me from using a contraceptive method.,
statement_62,Je sais pourquoi je n'utilise pas de contraception.,I know why I don't use contraception.,
